epoch,train_loss,valid_loss,recon_mse,time
0,-2.1468594074249268,-2.3509037494659424,0.08185280859470367,00:01
1,-2.476630210876465,-2.5451221466064453,0.06371991336345673,00:01
2,-2.5960936546325684,-2.647550106048584,0.05595726892352104,00:01
3,-2.674565315246582,-2.710395097732544,0.05120275542140007,00:01
4,-2.719064474105835,-2.7596960067749023,0.04701035097241402,00:01
5,-2.7470405101776123,-2.7782015800476074,0.04559624195098877,00:01
6,-2.7897324562072754,-2.7897658348083496,0.04431183263659477,00:01
7,-2.792180061340332,-2.8206558227539062,0.04254646971821785,00:01
8,-2.8242857456207275,-2.837512254714966,0.04157175496220589,00:01
9,-2.8254942893981934,-2.839155912399292,0.04132010042667389,00:01
10,-2.8346781730651855,-2.8540351390838623,0.04103381559252739,00:01
11,-2.8421671390533447,-2.861410617828369,0.04042782634496689,00:01
12,-2.8434784412384033,-2.866154193878174,0.039481207728385925,00:01
13,-2.8465347290039062,-2.864285707473755,0.0396106131374836,00:01
14,-2.8600168228149414,-2.8857169151306152,0.038358863443136215,00:01
15,-2.858768939971924,-2.8838303089141846,0.038702938705682755,00:01
16,-2.864942789077759,-2.886988878250122,0.038819994777441025,00:01
17,-2.8587117195129395,-2.8897080421447754,0.0385388508439064,00:01
18,-2.877624988555908,-2.891939401626587,0.037582721561193466,00:01
19,-2.8843765258789062,-2.9014155864715576,0.03738631680607796,00:01
20,-2.872304677963257,-2.8935556411743164,0.03797779232263565,00:01
21,-2.8764171600341797,-2.894052267074585,0.03795986250042915,00:01
22,-2.882289171218872,-2.905075788497925,0.03707699477672577,00:01
23,-2.888498544692993,-2.903968334197998,0.03690531849861145,00:01
24,-2.8945372104644775,-2.9116051197052,0.03632301092147827,00:01
25,-2.8938515186309814,-2.8908274173736572,0.03699970990419388,00:01
26,-2.8945059776306152,-2.9084255695343018,0.03706704452633858,00:01
27,-2.8920838832855225,-2.9109644889831543,0.03643520921468735,00:01
28,-2.8967761993408203,-2.9210469722747803,0.03618253022432327,00:01
29,-2.91566801071167,-2.9139108657836914,0.03655977547168732,00:01
30,-2.9089910984039307,-2.9187357425689697,0.036128971725702286,00:01
31,-2.900545120239258,-2.915386199951172,0.03620170056819916,00:01
32,-2.902435064315796,-2.90663743019104,0.035989854484796524,00:01
33,-2.9135749340057373,-2.8913886547088623,0.03697644919157028,00:01
34,-2.897824287414551,-2.919386863708496,0.035854972898960114,00:01
35,-2.923731803894043,-2.932441234588623,0.03525547310709953,00:01
36,-2.909677267074585,-2.9083378314971924,0.03649555891752243,00:01
37,-2.9196696281433105,-2.9361071586608887,0.03539730980992317,00:01
38,-2.9227547645568848,-2.9331889152526855,0.034976527094841,00:01
39,-2.9244158267974854,-2.9111528396606445,0.035575177520513535,00:01
